Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","131","Malaysia","5312","Area harvested","1717","Cereals, Total","1961","1961","ha","523153","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","131","Malaysia","5419","Yield","1717","Cereals, Total","1961","1961","hg/ha","20970","Fc","Calculated data"
"QCL","Crops and livestock products","131","Malaysia","5510","Production","1717","Cereals, Total","1961","1961","tonnes","1097075","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","131","Malaysia","5312","Area harvested","1717","Cereals, Total","1962","1962","ha","550684","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","131","Malaysia","5419","Yield","1717","Cereals, Total","1962","1962","hg/ha","20581","Fc","Calculated data"
"QCL","Crops and livestock products","131","Malaysia","5510","Production","1717","Cereals, Total","1962","1962","tonnes","1133343","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","131","Malaysia","5312","Area harvested","1717","Cereals, Total","1963","1963","ha","562184","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","131","Malaysia","5419","Yield","1717","Cereals, Total","1963","1963","hg/ha","21438","Fc","Calculated data"
"QCL","Crops and livestock products","131","Malaysia","5510","Production","1717","Cereals, Total","1963","1963","tonnes","1205214","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","131","Malaysia","5312","Area harvested","1717","Cereals, Total","1964","1964","ha","564713","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","131","Malaysia","5419","Yield","1717","Cereals, Total","1964","1964","hg/ha","19865","Fc","Calculated data"
"QCL","Crops and livestock products","131","Malaysia","5510","Production","1717","Cereals, Total","1964","1964","tonnes","1121782","A","Aggregate, may include official, semi-official, estimated or calculated data"
