,load,cr,blend,BTE,BSFC,CO2,PM,NOX
1,25,16.5,20,22.44,393.79,1239.1,0.44263,473.31
2,25,16.5,30,22.043,407.32,1265.8,0.40169,481.22
3,25,16.5,40,21.593,422.61,1296.8,0.46195,444.92
4,25,16.5,100,19.406,518.48,1463.3,0.36595,846.1
5,25,17.0,20,22.358,395.23,1243.7,0.30135,533.8
6,25,17.0,30,21.862,410.69,1276.3,0.30468,527.32
7,25,17.0,40,21.435,425.72,1306.3,0.34043,497.93
8,25,17.0,100,18.904,532.25,1502.1,0.38027,889.4
9,25,17.5,20,22.077,400.26,1259.5,0.22034,592.1
10,25,17.5,30,21.616,415.37,1290.8,0.21387,595.03
11,25,17.5,40,21.202,430.4,1320.7,0.24905,562.23
12,25,17.5,100,18.383,547.31,1544.6,0.38647,930.98
13,25,18.0,20,21.766,405.98,1277.5,0.15133,663.07
14,25,18.0,30,21.266,422.2,1312.0,0.16065,656.1
15,25,18.0,40,20.869,437.27,1341.8,0.15476,623.95
16,25,18.0,100,17.722,567.73,1602.3,0.39214,978.31
17,50,16.5,20,29.109,303.57,955.24,0.16911,1397.2
18,50,16.5,30,28.93,310.36,964.46,0.19074,1314.5
19,50,16.5,40,28.631,318.73,978.02,0.18469,1290.5
20,50,16.5,100,27.014,372.46,1051.2,0.34731,1562.6
21,50,17.0,20,28.767,307.17,966.57,0.16667,1463.1
22,50,17.0,30,28.581,314.15,976.24,0.18959,1398.9
23,50,17.0,40,28.269,322.81,990.54,0.18542,1367.3
24,50,17.0,100,26.543,379.07,1069.8,0.32908,1587.4
25,50,17.5,20,28.388,311.28,979.49,0.16857,1523.9
26,50,17.5,30,28.15,318.96,991.21,0.19113,1482.1
27,50,17.5,40,27.885,327.26,1004.2,0.18809,1417.1
28,50,17.5,100,26.102,385.47,1087.9,0.34166,1614.5
29,50,18.0,20,27.999,315.6,993.1,0.17172,1581.7
30,50,18.0,30,27.757,323.48,1005.2,0.19493,1537.7
31,50,18.0,40,27.496,331.89,1018.4,0.19338,1476.0
32,50,18.0,100,25.589,393.2,1109.7,0.35765,1635.7
33,75,16.5,20,32.721,270.06,849.78,0.18796,2465.5
34,75,16.5,30,32.702,274.56,853.22,0.21273,2389.3
35,75,16.5,40,32.541,280.43,860.5,0.20387,2283.8
36,75,16.5,100,31.022,324.33,915.33,0.45956,2449.5
37,75,17.0,20,32.48,272.06,856.09,0.18189,2500.2
38,75,17.0,30,32.415,276.99,860.77,0.20592,2454.3
39,75,17.0,40,32.306,282.47,866.77,0.18557,2369.2
40,75,17.0,100,30.687,327.88,925.35,0.46322,2471.4
41,75,17.5,20,32.225,274.22,862.86,0.16586,2541.3
42,75,17.5,30,32.208,278.77,866.32,0.21144,2475.2
43,75,17.5,40,32.048,284.74,873.74,0.18468,2409.6
44,75,17.5,100,30.396,331.02,934.21,0.46883,2515.8
45,75,18.0,20,31.926,276.78,870.93,0.17386,2575.0
46,75,18.0,30,31.864,281.78,875.66,0.20549,2545.1
47,75,18.0,40,31.724,287.65,882.66,0.19149,2443.1
48,75,18.0,100,30.289,332.18,937.5,0.47101,2466.9
49,100,16.5,20,33.549,263.39,828.79,1.0947,1053.6
50,100,16.5,30,34.075,263.49,818.83,0.46533,3190.3
51,100,16.5,40,34.019,268.25,823.12,0.4569,3041.4
52,100,16.5,100,33.424,301.02,849.56,0.50032,3300.8
53,100,17.0,20,33.116,266.83,839.63,1.0582,1101.5
54,100,17.0,30,33.872,265.08,823.76,0.4677,3200.7
55,100,17.0,40,33.829,269.76,827.75,0.45175,3042.1
56,100,17.0,100,33.561,299.79,846.09,0.50925,3244.3
57,100,17.5,20,32.93,268.34,844.39,1.0425,1159.0
58,100,17.5,30,33.745,266.07,826.85,0.46135,3213.4
59,100,17.5,40,33.671,271.02,831.62,0.44698,3044.3
60,100,17.5,100,33.326,301.91,852.05,0.50992,3258.0
61,100,18.0,20,32.468,272.16,856.4,1.0251,1197.8
62,100,18.0,30,32.235,278.54,865.59,0.96961,1155.0
63,100,18.0,40,32.154,283.81,870.86,0.9402,1061.2
64,100,18.0,100,33.548,299.91,846.42,0.48524,3335.0
