Entity,Code,Year,Yield,Precipitation,Mean Temperature,Max Temperature,Min Temperature,Temperature Difference,Humidity,Fertilizer consumption,Annual CO2 emissions
Malaysia,MYS,1970,23830,3145.23,25.925,32.76,19.09,13.67,86.5,202.9137443,1.35
Malaysia,MYS,1971,24686,3103.63,25.64,32.46,18.82,13.64,85.92,176.9596396,1.5062
Malaysia,MYS,1972,23961,2566.95,25.2,32.64,17.76,14.88,85.34,212.3233667,1.5807
Malaysia,MYS,1973,26322,3291.34,26.165,33.15,19.18,13.97,85.54,263.2637392,1.51
Malaysia,MYS,1974,28266,2906.7,25.36,32.51,18.21,14.3,85.73,225.1296704,1.6043
Malaysia,MYS,1975,26412,3154.03,25.735,32.49,18.98,13.51,85.94,235.0588547,1.5988
Malaysia,MYS,1976,26970,2733.5,25.565,32.67,18.46,14.21,85.09,287.7337236,1.9166
Malaysia,MYS,1977,26117,2940.53,26.02,32.8,19.24,13.56,85.62,299.7920842,1.7686
Malaysia,MYS,1978,25428,2669.08,26.185,33.09,19.28,13.81,85.19,392.7083666,1.7725
Malaysia,MYS,1979,28228,2923.14,26.36,33.55,19.17,14.38,85.38,401.4379314,2.0287
Malaysia,MYS,1980,28359,3182.47,26.105,32.94,19.27,13.67,86.01,441.030434,2.0316
Malaysia,MYS,1981,28244,3026.1,26.16,33.14,19.18,13.96,85.01,387.0225094,2.1846
Malaysia,MYS,1982,27429,2660.76,26.11,33.02,19.2,13.82,85.01,445.1190704,2.1174
Malaysia,MYS,1983,25799,2819.98,27.08,34.43,19.73,14.7,84.68,496.7489197,2.5675
Malaysia,MYS,1984,24979,3458.8,25.97,32.21,19.73,12.48,87.2,680.2506519,2.2903
Malaysia,MYS,1985,26424,2962.94,25.72,32.63,18.81,13.82,85.88,657.7683988,2.329
Malaysia,MYS,1986,26194,2896.63,26.14,32.96,19.32,13.64,85.59,735.6129176,2.4995
Malaysia,MYS,1987,24509,2772.33,26.5,33.51,19.49,14.02,85.34,829.3765254,2.4741
Malaysia,MYS,1988,25056,3454.4,26.28,33,19.56,13.44,86.27,972.910726,2.5184
Malaysia,MYS,1989,26019,2824.93,25.985,32.97,19,13.97,85.77,983.6950534,2.8572
Malaysia,MYS,1990,27403,2533.9,26.545,33.69,19.4,14.29,84.51,977.326456,3.01
Malaysia,MYS,1991,27874,2784.87,26.185,33.12,19.25,13.87,85.46,1004.805125,3.5521
Malaysia,MYS,1992,29531,2590.17,26.335,33.37,19.3,14.07,84.85,1041.446303,3.8395
Malaysia,MYS,1993,30030,2946.72,25.37,32.68,18.06,14.62,85.51,1126.283592,4.4506
Malaysia,MYS,1994,30319,3099.67,26.165,32.97,19.36,13.61,85.25,1247.224916,4.5367
Malaysia,MYS,1995,31192,3354.57,26.555,33.06,20.05,13.01,85.75,1211.986681,5.5611
Malaysia,MYS,1996,32000,3314.84,25.985,33.26,18.71,14.55,85.36,1267.79509,5.3975
Malaysia,MYS,1997,30233,2610.94,26.105,33.22,18.99,14.23,84.59,1408.79937,5.6618
Malaysia,MYS,1998,28432,2807.09,27.845,35.05,20.64,14.41,83.39,1607.408254,5.1657
Malaysia,MYS,1999,29103,3553.77,26.45,32.93,19.97,12.96,85.37,1509.291985,4.7787
Malaysia,MYS,2000,30395,3404.24,26.66,33.13,20.19,12.94,85.09,1367.877288,5.4411
Malaysia,MYS,2001,31081,3086.91,26.685,33.29,20.08,13.21,85.01,1289.301026,5.6513
Malaysia,MYS,2002,32321,2769.93,26.63,33.9,19.36,14.54,82.7,1105.274739,5.5815
Malaysia,MYS,2003,33472,3250.4,26.99,33.78,20.2,13.58,83.63,1141.952528,6.3372
Malaysia,MYS,2004,33149,2907.98,26.9,33.71,20.09,13.62,83,1707.228425,6.7923
Malaysia,MYS,2005,34070,2946.93,26.715,34.22,19.21,15.01,82.62,1596.033937,7.0583
Malaysia,MYS,2006,33836,3240.83,26.89,33.42,20.36,13.06,85.24,1877.809301,6.8234
Malaysia,MYS,2007,35406,3378.51,26.66,33.45,19.87,13.58,85.29,2171.757265,6.8283
Malaysia,MYS,2008,35992,3720.94,26.455,32.89,20.02,12.87,85.63,2066.392268,7.4161
Malaysia,MYS,2009,37347,3497.76,26.895,33.77,20.02,13.75,84.22,1147.987195,7.2368
Malaysia,MYS,2010,36599,3281.77,27.125,34.01,20.24,13.77,84.76,2166.750064,7.6551
Malaysia,MYS,2011,37802,3540.22,26.75,33.32,20.18,13.14,85.82,2183.644986,7.5737
Malaysia,MYS,2012,38667,3343.6,26.805,33.07,20.54,12.53,85.84,1916.8405,7.4037
Malaysia,MYS,2013,39480,3222.1,27.16,33.62,20.7,12.92,85.45,2170.243129,8.2286
Malaysia,MYS,2014,30339,2936.18,26.35,33.85,18.85,15,84.48,2491.688122,8.1975
Malaysia,MYS,2015,40542,2783.16,27.01,33.98,20.04,13.94,84.58,2105.055313,7.659
Malaysia,MYS,2016,40132,2963.33,27.885,34.84,20.93,13.91,83.86,2143.024952,8.1657
Malaysia,MYS,2017,37974,3418.04,26.685,33.48,19.89,13.59,86.01,2169.443354,8.0554
Malaysia,MYS,2018,38168,3354.01,27.215,34.04,20.39,13.65,84.86,2106.450375,8.6345
